country,date,label,value
China (People's Republic of),1990-01-01,Área Agrícola,512271.0
Australia,1990-01-01,Área Agrícola,464026.542
United States,1990-01-01,Área Agrícola,426948.0
Brazil,1990-01-01,Área Agrícola,233480.2
India,1990-01-01,Área Agrícola,181586.0
Argentina,1990-01-01,Área Agrícola,127660.0
Mexico,1990-01-01,Área Agrícola,105151.0
South Africa,1990-01-01,Área Agrícola,96005.0
Canada,1990-01-01,Área Agrícola,58580.734
Colombia,1990-01-01,Área Agrícola,45083.0
Türkiye,1990-01-01,Área Agrícola,42003.0
Indonesia,1990-01-01,Área Agrícola,41524.0
Spain,1990-01-01,Área Agrícola,30625.2
France,1990-01-01,Área Agrícola,30494.2
Poland,1990-01-01,Área Agrícola,18645.6
Italy,1990-01-01,Área Agrícola,18166.3
Germany,1990-01-01,Área Agrícola,17869.1
United Kingdom,1990-01-01,Área Agrícola,16998.5
Chile,1990-01-01,Área Agrícola,15899.0
Romania,1990-01-01,Área Agrícola,14802.3
New Zealand,1990-01-01,Área Agrícola,13163.8
Philippines,1990-01-01,Área Agrícola,11157.0
Viet Nam,1990-01-01,Área Agrícola,6751.0
Hungary,1990-01-01,Área Agrícola,6473.1
Bulgaria,1990-01-01,Área Agrícola,6159.0
Japan,1990-01-01,Área Agrícola,5242.7
Greece,1990-01-01,Área Agrícola,5180.1
Ireland,1990-01-01,Área Agrícola,4536.4
Czech Republic,1990-01-01,Área Agrícola,4288.0
Portugal,1990-01-01,Área Agrícola,4019.0
Lithuania,1990-01-01,Área Agrícola,3513.5
Austria,1990-01-01,Área Agrícola,3458.0
Sweden,1990-01-01,Área Agrícola,3416.4
Denmark,1990-01-01,Área Agrícola,2788.3
Finland,1990-01-01,Área Agrícola,2559.7
Latvia,1990-01-01,Área Agrícola,2539.6
Korea,1990-01-01,Área Agrícola,2499.36
Slovak Republic,1990-01-01,Área Agrícola,2416.6
Costa Rica,1990-01-01,Área Agrícola,2198.6
Netherlands,1990-01-01,Área Agrícola,2019.3
Iceland,1990-01-01,Área Agrícola,1907.332
Belgium,1990-01-01,Área Agrícola,1384.0
Estonia,1990-01-01,Área Agrícola,1357.8
Israel,1990-01-01,Área Agrícola,435.03
Cyprus,1990-01-01,Área Agrícola,140.8
Luxembourg,1990-01-01,Área Agrícola,126.6
Malta,1990-01-01,Área Agrícola,11.0
China (People's Republic of),1991-01-01,Área Agrícola,515198.0
Australia,1991-01-01,Área Agrícola,462763.419
United States,1991-01-01,Área Agrícola,426948.0
Brazil,1991-01-01,Área Agrícola,232060.4
Russia,1991-01-01,Área Agrícola,221631.0
Kazakhstan,1991-01-01,Área Agrícola,221463.0
India,1991-01-01,Área Agrícola,181305.0
Argentina,1991-01-01,Área Agrícola,127755.0
Mexico,1991-01-01,Área Agrícola,106154.0
South Africa,1991-01-01,Área Agrícola,96473.0
Canada,1991-01-01,Área Agrícola,60891.432
Colombia,1991-01-01,Área Agrícola,44884.0
Ukraine,1991-01-01,Área Agrícola,41929.0
Indonesia,1991-01-01,Área Agrícola,41351.0
Türkiye,1991-01-01,Área Agrícola,40031.0
France,1991-01-01,Área Agrícola,30369.3
Spain,1991-01-01,Área Agrícola,30054.1
Poland,1991-01-01,Área Agrícola,18600.5
Italy,1991-01-01,Área Agrícola,17570.6
Germany,1991-01-01,Área Agrícola,17136.5
United Kingdom,1991-01-01,Área Agrícola,16928.3
Chile,1991-01-01,Área Agrícola,15789.0
Romania,1991-01-01,Área Agrícola,14790.1
New Zealand,1991-01-01,Área Agrícola,13150.7
Philippines,1991-01-01,Área Agrícola,11115.0
Viet Nam,1991-01-01,Área Agrícola,7025.0
Hungary,1991-01-01,Área Agrícola,6459.7
Bulgaria,1991-01-01,Área Agrícola,6159.0
Japan,1991-01-01,Área Agrícola,5204.7
Greece,1991-01-01,Área Agrícola,5169.4
Ireland,1991-01-01,Área Agrícola,4443.8
Czech Republic,1991-01-01,Área Agrícola,4285.0
Portugal,1991-01-01,Área Agrícola,4120.9
Lithuania,1991-01-01,Área Agrícola,3511.6
Austria,1991-01-01,Área Agrícola,3477.0
Sweden,1991-01-01,Área Agrícola,3358.0
Denmark,1991-01-01,Área Agrícola,2785.7
Finland,1991-01-01,Área Agrícola,2539.2
Latvia,1991-01-01,Área Agrícola,2523.3
Korea,1991-01-01,Área Agrícola,2422.16
Slovak Republic,1991-01-01,Área Agrícola,2416.6
Costa Rica,1991-01-01,Área Agrícola,2203.618
Netherlands,1991-01-01,Área Agrícola,1970.5
Iceland,1991-01-01,Área Agrícola,1906.871
Belgium,1991-01-01,Área Agrícola,1374.8
Estonia,1991-01-01,Área Agrícola,1374.5
Slovenia,1991-01-01,Área Agrícola,841.9
Israel,1991-01-01,Área Agrícola,434.98
Cyprus,1991-01-01,Área Agrícola,143.7
Luxembourg,1991-01-01,Área Agrícola,125.6
China (People's Republic of),1992-01-01,Área Agrícola,519106.0
Australia,1992-01-01,Área Agrícola,465953.494
United States,1992-01-01,Área Agrícola,425429.0
Brazil,1992-01-01,Área Agrícola,230640.6
Kazakhstan,1992-01-01,Área Agrícola,221747.0
Russia,1992-01-01,Área Agrícola,218795.0
India,1992-01-01,Área Agrícola,181382.0
Argentina,1992-01-01,Área Agrícola,127850.0
Mexico,1992-01-01,Área Agrícola,106177.0
South Africa,1992-01-01,Área Agrícola,96936.0
Canada,1992-01-01,Área Agrícola,60207.325
Colombia,1992-01-01,Área Agrícola,44983.0
Indonesia,1992-01-01,Área Agrícola,42016.0
Ukraine,1992-01-01,Área Agrícola,41890.0
Türkiye,1992-01-01,Área Agrícola,39952.0
France,1992-01-01,Área Agrícola,30230.9
Spain,1992-01-01,Área Agrícola,30000.0
Poland,1992-01-01,Área Agrícola,18535.1
Italy,1992-01-01,Área Agrícola,17203.0
Germany,1992-01-01,Área Agrícola,16950.1
United Kingdom,1992-01-01,Área Agrícola,16851.7
Chile,1992-01-01,Área Agrícola,15556.0
Romania,1992-01-01,Área Agrícola,14793.2
New Zealand,1992-01-01,Área Agrícola,13137.2
Philippines,1992-01-01,Área Agrícola,11065.0
Viet Nam,1992-01-01,Área Agrícola,7087.0
Bulgaria,1992-01-01,Área Agrícola,6159.0
Hungary,1992-01-01,Área Agrícola,6135.7
Greece,1992-01-01,Área Agrícola,5180.7
Japan,1992-01-01,Área Agrícola,5164.5
Ireland,1992-01-01,Área Agrícola,4415.2
Czech Republic,1992-01-01,Área Agrícola,4283.0
Portugal,1992-01-01,Área Agrícola,4052.9
Lithuania,1992-01-01,Área Agrícola,3524.1
Austria,1992-01-01,Área Agrícola,3467.8
Sweden,1992-01-01,Área Agrícola,3336.0
Denmark,1992-01-01,Área Agrícola,2755.3
Finland,1992-01-01,Área Agrícola,2528.5
Latvia,1992-01-01,Área Agrícola,2466.3
Slovak Republic,1992-01-01,Área Agrícola,2418.8
Korea,1992-01-01,Área Agrícola,2348.723
Costa Rica,1992-01-01,Área Agrícola,2160.0
Netherlands,1992-01-01,Área Agrícola,1964.5
Iceland,1992-01-01,Área Agrícola,1906.413
Estonia,1992-01-01,Área Agrícola,1374.1
Belgium,1992-01-01,Área Agrícola,1353.8
Slovenia,1992-01-01,Área Agrícola,567.2
Israel,1992-01-01,Área Agrícola,434.96
Cyprus,1992-01-01,Área Agrícola,142.5
Luxembourg,1992-01-01,Área Agrícola,125.7
China (People's Republic of),1993-01-01,Área Agrícola,523713.0
Australia,1993-01-01,Área Agrícola,460097.296
United States,1993-01-01,Área Agrícola,422948.0
Brazil,1993-01-01,Área Agrícola,229220.8
Kazakhstan,1993-01-01,Área Agrícola,221651.0
Russia,1993-01-01,Área Agrícola,217711.0
India,1993-01-01,Área Agrícola,181291.0
Argentina,1993-01-01,Área Agrícola,127948.0
Mexico,1993-01-01,Área Agrícola,106180.0
South Africa,1993-01-01,Área Agrícola,97265.0
Canada,1993-01-01,Área Agrícola,60761.724
Colombia,1993-01-01,Área Agrícola,44903.0
Indonesia,1993-01-01,Área Agrícola,41971.0
Ukraine,1993-01-01,Área Agrícola,41861.0
Türkiye,1993-01-01,Área Agrícola,39912.0
France,1993-01-01,Área Agrícola,30121.3
Spain,1993-01-01,Área Agrícola,29755.9
Poland,1993-01-01,Área Agrícola,18476.6
Germany,1993-01-01,Área Agrícola,17219.5
Italy,1993-01-01,Área Agrícola,16484.1
United Kingdom,1993-01-01,Área Agrícola,16355.5
Chile,1993-01-01,Área Agrícola,15477.0
Romania,1993-01-01,Área Agrícola,14797.5
New Zealand,1993-01-01,Área Agrícola,13092.2
Philippines,1993-01-01,Área Agrícola,11015.0
Viet Nam,1993-01-01,Área Agrícola,7140.0
Bulgaria,1993-01-01,Área Agrícola,6159.0
Hungary,1993-01-01,Área Agrícola,6129.1
Greece,1993-01-01,Área Agrícola,5161.9
Japan,1993-01-01,Área Agrícola,5124.8
Ireland,1993-01-01,Área Agrícola,4406.3
Czech Republic,1993-01-01,Área Agrícola,4282.0
Portugal,1993-01-01,Área Agrícola,4033.0
Lithuania,1993-01-01,Área Agrícola,3519.3
