country,date,label,value
  India,1985-01-01,GEE,563956.084
  China (People's Republic of),1985-01-01,GEE,515532.419
  Brazil,1985-01-01,GEE,307519.082
  Indonesia,1985-01-01,GEE,99880.85
  Philippines,1985-01-01,GEE,46988.916
  Viet Nam,1985-01-01,GEE,45164.72
  South Africa,1985-01-01,GEE,27919.177
Costa Rica,1985-01-01,GEE,4545.592
  India,1986-01-01,GEE,574766.067
  China (People's Republic of),1986-01-01,GEE,528146.868
  Brazil,1986-01-01,GEE,318716.284
  Indonesia,1986-01-01,GEE,102486.721
  Philippines,1986-01-01,GEE,47621.596
  Viet Nam,1986-01-01,GEE,45840.265
  South Africa,1986-01-01,GEE,27907.386
Costa Rica,1986-01-01,GEE,4542.506
  India,1987-01-01,GEE,564959.087
  China (People's Republic of),1987-01-01,GEE,559186.781
  Brazil,1987-01-01,GEE,327501.801
  Indonesia,1987-01-01,GEE,102388.341
  Philippines,1987-01-01,GEE,46311.721
  Viet Nam,1987-01-01,GEE,45480.744
  South Africa,1987-01-01,GEE,28007.098
Costa Rica,1987-01-01,GEE,4533.469
  India,1988-01-01,GEE,587920.01
  China (People's Republic of),1988-01-01,GEE,573088.834
  Brazil,1988-01-01,GEE,334980.69
  Indonesia,1988-01-01,GEE,105150.933
Poland,1988-01-01,GEE,49190.579
  Philippines,1988-01-01,GEE,47845.922
  Viet Nam,1988-01-01,GEE,47222.58
  South Africa,1988-01-01,GEE,28558.689
  Bulgaria,1988-01-01,GEE,13767.953
Hungary,1988-01-01,GEE,11795.052
Costa Rica,1988-01-01,GEE,4420.842
Slovenia,1988-01-01,GEE,1904.8
  India,1989-01-01,GEE,594681.921
  China (People's Republic of),1989-01-01,GEE,592712.874
  Brazil,1989-01-01,GEE,343966.667
  Indonesia,1989-01-01,GEE,108016.96
Poland,1989-01-01,GEE,51855.155
  Philippines,1989-01-01,GEE,48951.614
  Viet Nam,1989-01-01,GEE,48586.971
  Romania,1989-01-01,GEE,39132.059
  South Africa,1989-01-01,GEE,29361.51
  Bulgaria,1989-01-01,GEE,13176.965
Hungary,1989-01-01,GEE,11437.951
Costa Rica,1989-01-01,GEE,4398.728
Slovenia,1989-01-01,GEE,1867.084
  China (People's Republic of),1990-01-01,GEE,608226.748
  India,1990-01-01,GEE,603468.425
United States,1990-01-01,GEE,548049.159
  Brazil,1990-01-01,GEE,358175.284
  Russia,1990-01-01,GEE,250734.98
  Indonesia,1990-01-01,GEE,118294.198
Mexico,1990-01-01,GEE,113622.018
  Argentina,1990-01-01,GEE,105060.83
Australia,1990-01-01,GEE,92095.804
  Ukraine,1990-01-01,GEE,86842.924
France,1990-01-01,GEE,78176.815
Germany,1990-01-01,GEE,72632.027
United Kingdom,1990-01-01,GEE,50828.984
  Viet Nam,1990-01-01,GEE,49448.643
Poland,1990-01-01,GEE,49291.343
  Philippines,1990-01-01,GEE,47224.842
Türkiye,1990-01-01,GEE,46053.678
  Kazakhstan,1990-01-01,GEE,43860.952
Canada,1990-01-01,GEE,41139.872
Colombia,1990-01-01,GEE,40651.124
Italy,1990-01-01,GEE,37675.993
Japan,1990-01-01,GEE,37515.639
  Romania,1990-01-01,GEE,34651.382
New Zealand,1990-01-01,GEE,33312.045
Spain,1990-01-01,GEE,33022.577
Netherlands,1990-01-01,GEE,25162.319
Korea,1990-01-01,GEE,20971.7
Ireland,1990-01-01,GEE,19668.606
Czech Republic,1990-01-01,GEE,15136.369
Denmark,1990-01-01,GEE,13995.78
  Bulgaria,1990-01-01,GEE,12326.281
Chile,1990-01-01,GEE,12008.057
Belgium,1990-01-01,GEE,11636.193
Greece,1990-01-01,GEE,10534.682
Hungary,1990-01-01,GEE,10090.846
Lithuania,1990-01-01,GEE,9000.564
Austria,1990-01-01,GEE,8399.709
Sweden,1990-01-01,GEE,7646.313
Portugal,1990-01-01,GEE,7339.173
Finland,1990-01-01,GEE,7243.797
Switzerland,1990-01-01,GEE,6801.118
Slovak Republic,1990-01-01,GEE,6068.304
Latvia,1990-01-01,GEE,5030.478
Norway,1990-01-01,GEE,4946.561
  Croatia,1990-01-01,GEE,4424.338
Costa Rica,1990-01-01,GEE,3747.279
Estonia,1990-01-01,GEE,2723.705
Slovenia,1990-01-01,GEE,1951.302
Luxembourg,1990-01-01,GEE,702.071
Iceland,1990-01-01,GEE,695.252
  Cyprus,1990-01-01,GEE,454.271
  Malta,1990-01-01,GEE,108.77
  China (People's Republic of),1991-01-01,GEE,618315.885
  India,1991-01-01,GEE,610868.708
United States,1991-01-01,GEE,540745.921
  Brazil,1991-01-01,GEE,369898.154
  Russia,1991-01-01,GEE,237957.472
  Indonesia,1991-01-01,GEE,117542.842
Mexico,1991-01-01,GEE,112352.193
  Argentina,1991-01-01,GEE,106285.16
Australia,1991-01-01,GEE,91260.931
  Ukraine,1991-01-01,GEE,81069.496
France,1991-01-01,GEE,77262.483
Germany,1991-01-01,GEE,65681.345
  Viet Nam,1991-01-01,GEE,51913.624
United Kingdom,1991-01-01,GEE,50501.539
  Philippines,1991-01-01,GEE,47557.266
Türkiye,1991-01-01,GEE,46927.898
  Kazakhstan,1991-01-01,GEE,46710.633
Poland,1991-01-01,GEE,42514.509
Canada,1991-01-01,GEE,41316.43
Colombia,1991-01-01,GEE,40834.261
Italy,1991-01-01,GEE,38567.958
Japan,1991-01-01,GEE,37131.792
New Zealand,1991-01-01,GEE,33557.064
Spain,1991-01-01,GEE,31639.499
  Romania,1991-01-01,GEE,28962.306
Netherlands,1991-01-01,GEE,25499.473
Korea,1991-01-01,GEE,21238.36
Ireland,1991-01-01,GEE,19914.53
Denmark,1991-01-01,GEE,13865.171
Czech Republic,1991-01-01,GEE,13143.942
Chile,1991-01-01,GEE,12086.838
Belgium,1991-01-01,GEE,11525.269
  Bulgaria,1991-01-01,GEE,10799.153
Greece,1991-01-01,GEE,10548.852
Lithuania,1991-01-01,GEE,8855.016
Hungary,1991-01-01,GEE,8646.397
Austria,1991-01-01,GEE,8310.6
Portugal,1991-01-01,GEE,7368.831
Sweden,1991-01-01,GEE,7324.833
Finland,1991-01-01,GEE,6839.878
Switzerland,1991-01-01,GEE,6773.398
Slovak Republic,1991-01-01,GEE,5251.43
Norway,1991-01-01,GEE,4877.921
Latvia,1991-01-01,GEE,4646.509
