state,date,label,nutrient,value
11,2001-01-01,Carcaça Bovina,N,7652.7219
11,2002-01-01,Carcaça Bovina,N,12206.905379999998
11,2003-01-01,Carcaça Bovina,N,12620.08572
11,2004-01-01,Carcaça Bovina,N,14316.70368
11,2005-01-01,Carcaça Bovina,N,17570.01066
11,2006-01-01,Carcaça Bovina,N,22372.80678
11,2007-01-01,Carcaça Bovina,N,28164.773699999998
11,2008-01-01,Carcaça Bovina,N,23594.30304
11,2009-01-01,Carcaça Bovina,N,25914.958619999998
11,2010-01-01,Carcaça Bovina,N,26592.253619999996
11,2011-01-01,Carcaça Bovina,N,26019.33744
11,2012-01-01,Carcaça Bovina,N,28749.978
11,2013-01-01,Carcaça Bovina,N,32481.720779999996
11,2014-01-01,Carcaça Bovina,N,29005.11198
11,2015-01-01,Carcaça Bovina,N,27705.06966
11,2016-01-01,Carcaça Bovina,N,32684.42268
11,2017-01-01,Carcaça Bovina,N,34180.44636
11,2018-01-01,Carcaça Bovina,N,35483.53176
11,2019-01-01,Carcaça Bovina,N,35435.0553
11,2020-01-01,Carcaça Bovina,N,33719.03574
11,2021-01-01,Carcaça Bovina,N,30268.16724
11,2022-01-01,Carcaça Bovina,N,32705.79216
11,2023-01-01,Carcaça Bovina,N,43588.04328
11,2024-01-01,Carcaça Bovina,N,24117.51156
12,2001-01-01,Carcaça Bovina,N,2857.2913799999997
12,2002-01-01,Carcaça Bovina,N,3091.9367399999996
12,2003-01-01,Carcaça Bovina,N,3088.5626999999995
12,2004-01-01,Carcaça Bovina,N,2814.0946200000003
12,2005-01-01,Carcaça Bovina,N,2964.1651799999995
12,2006-01-01,Carcaça Bovina,N,3651.84258
12,2007-01-01,Carcaça Bovina,N,5861.97558
12,2008-01-01,Carcaça Bovina,N,5289.77262
12,2009-01-01,Carcaça Bovina,N,5620.56174
12,2010-01-01,Carcaça Bovina,N,6559.45992
12,2011-01-01,Carcaça Bovina,N,5979.57366
12,2012-01-01,Carcaça Bovina,N,5429.16498
12,2013-01-01,Carcaça Bovina,N,5711.93898
12,2014-01-01,Carcaça Bovina,N,5922.0396
12,2015-01-01,Carcaça Bovina,N,5692.791
12,2016-01-01,Carcaça Bovina,N,6264.587219999999
12,2017-01-01,Carcaça Bovina,N,5921.853899999999
12,2018-01-01,Carcaça Bovina,N,5967.43404
12,2019-01-01,Carcaça Bovina,N,5844.1038
12,2020-01-01,Carcaça Bovina,N,5442.68154
12,2021-01-01,Carcaça Bovina,N,4955.55084
12,2022-01-01,Carcaça Bovina,N,5145.016439999999
12,2023-01-01,Carcaça Bovina,N,6932.57652
12,2024-01-01,Carcaça Bovina,N,4051.47552
13,2005-01-01,Carcaça Bovina,N,583.6156799999999
13,2006-01-01,Carcaça Bovina,N,1039.67136
13,2007-01-01,Carcaça Bovina,N,1463.87652
13,2008-01-01,Carcaça Bovina,N,1374.72204
13,2009-01-01,Carcaça Bovina,N,1596.7324199999998
13,2010-01-01,Carcaça Bovina,N,2432.24124
13,2011-01-01,Carcaça Bovina,N,2809.78788
13,2012-01-01,Carcaça Bovina,N,2857.2657
13,2013-01-01,Carcaça Bovina,N,2858.4146399999995
13,2014-01-01,Carcaça Bovina,N,2959.48704
13,2015-01-01,Carcaça Bovina,N,2985.40092
13,2016-01-01,Carcaça Bovina,N,3310.9988399999997
13,2017-01-01,Carcaça Bovina,N,3357.94896
13,2018-01-01,Carcaça Bovina,N,3276.6986399999996
13,2019-01-01,Carcaça Bovina,N,3279.71808
13,2020-01-01,Carcaça Bovina,N,2866.7881799999996
13,2021-01-01,Carcaça Bovina,N,2093.17902
13,2022-01-01,Carcaça Bovina,N,2192.59152
13,2023-01-01,Carcaça Bovina,N,2105.01354
13,2024-01-01,Carcaça Bovina,N,1496.5396199999998
14,2006-01-01,Carcaça Bovina,N,411.58062
14,2007-01-01,Carcaça Bovina,N,806.20206
14,2008-01-01,Carcaça Bovina,N,965.24364
14,2009-01-01,Carcaça Bovina,N,917.93412
14,2010-01-01,Carcaça Bovina,N,989.5314599999999
14,2011-01-01,Carcaça Bovina,N,990.35262
14,2012-01-01,Carcaça Bovina,N,497.67816
14,2013-01-01,Carcaça Bovina,N,987.96372
14,2014-01-01,Carcaça Bovina,N,991.9510799999999
14,2015-01-01,Carcaça Bovina,N,229.27926
14,2016-01-01,Carcaça Bovina,N,878.55882
14,2017-01-01,Carcaça Bovina,N,994.29426
14,2018-01-01,Carcaça Bovina,N,1123.6135800000002
14,2019-01-01,Carcaça Bovina,N,1135.65312
14,2020-01-01,Carcaça Bovina,N,1185.3605999999997
14,2021-01-01,Carcaça Bovina,N,1241.6613599999998
14,2022-01-01,Carcaça Bovina,N,1231.28382
14,2023-01-01,Carcaça Bovina,N,1349.68974
14,2024-01-01,Carcaça Bovina,N,727.0309199999999
15,2001-01-01,Carcaça Bovina,N,15647.84694
15,2002-01-01,Carcaça Bovina,N,18347.35476
15,2003-01-01,Carcaça Bovina,N,20552.98824
15,2004-01-01,Carcaça Bovina,N,23238.09924
15,2005-01-01,Carcaça Bovina,N,26788.190459999998
15,2006-01-01,Carcaça Bovina,N,30481.904759999998
15,2007-01-01,Carcaça Bovina,N,32345.536079999998
15,2008-01-01,Carcaça Bovina,N,29512.72932
15,2009-01-01,Carcaça Bovina,N,30449.4285
15,2010-01-01,Carcaça Bovina,N,29969.32176
15,2011-01-01,Carcaça Bovina,N,30099.90804
15,2012-01-01,Carcaça Bovina,N,31453.790279999997
15,2013-01-01,Carcaça Bovina,N,35178.13368
15,2014-01-01,Carcaça Bovina,N,36410.84016
15,2015-01-01,Carcaça Bovina,N,38132.31684
15,2016-01-01,Carcaça Bovina,N,40005.61524
15,2017-01-01,Carcaça Bovina,N,39248.27705999999
15,2018-01-01,Carcaça Bovina,N,40310.21946
15,2019-01-01,Carcaça Bovina,N,36920.889839999996
15,2020-01-01,Carcaça Bovina,N,35677.607280000004
15,2021-01-01,Carcaça Bovina,N,36497.36087999999
15,2022-01-01,Carcaça Bovina,N,39344.18454
15,2023-01-01,Carcaça Bovina,N,44851.436460000004
15,2024-01-01,Carcaça Bovina,N,25097.42442
16,2004-01-01,Carcaça Bovina,N,272.33652
16,2005-01-01,Carcaça Bovina,N,348.47520000000003
16,2008-01-01,Carcaça Bovina,N,82.13028
17,2001-01-01,Carcaça Bovina,N,6478.98384
17,2002-01-01,Carcaça Bovina,N,8055.89946
17,2003-01-01,Carcaça Bovina,N,8154.31542
17,2004-01-01,Carcaça Bovina,N,10140.354959999999
17,2005-01-01,Carcaça Bovina,N,11969.93358
17,2006-01-01,Carcaça Bovina,N,14974.505580000001
17,2007-01-01,Carcaça Bovina,N,15054.72252
17,2008-01-01,Carcaça Bovina,N,11481.48762
17,2009-01-01,Carcaça Bovina,N,12302.39958
17,2010-01-01,Carcaça Bovina,N,12712.116179999999
17,2011-01-01,Carcaça Bovina,N,14588.45802
17,2012-01-01,Carcaça Bovina,N,14396.1396
17,2013-01-01,Carcaça Bovina,N,16403.5926
17,2014-01-01,Carcaça Bovina,N,16158.14166
17,2015-01-01,Carcaça Bovina,N,16436.97222
17,2016-01-01,Carcaça Bovina,N,15169.17252
17,2017-01-01,Carcaça Bovina,N,14339.06874
17,2018-01-01,Carcaça Bovina,N,15549.48366
17,2019-01-01,Carcaça Bovina,N,15980.228399999998
17,2020-01-01,Carcaça Bovina,N,15000.06042
17,2021-01-01,Carcaça Bovina,N,16213.302479999998
17,2022-01-01,Carcaça Bovina,N,18443.95722
17,2023-01-01,Carcaça Bovina,N,19973.52198
17,2024-01-01,Carcaça Bovina,N,10419.565980000001
21,2001-01-01,Carcaça Bovina,N,5465.08338
21,2002-01-01,Carcaça Bovina,N,6637.5747599999995
21,2003-01-01,Carcaça Bovina,N,7387.373279999999
21,2004-01-01,Carcaça Bovina,N,7859.58888
21,2005-01-01,Carcaça Bovina,N,7552.2696
21,2006-01-01,Carcaça Bovina,N,10279.855139999998
21,2007-01-01,Carcaça Bovina,N,10317.3519
21,2008-01-01,Carcaça Bovina,N,10415.001
21,2009-01-01,Carcaça Bovina,N,9517.52892
21,2010-01-01,Carcaça Bovina,N,8044.73388
21,2011-01-01,Carcaça Bovina,N,9766.97508
21,2012-01-01,Carcaça Bovina,N,9481.22994
21,2013-01-01,Carcaça Bovina,N,9831.050519999999
21,2014-01-01,Carcaça Bovina,N,11496.704039999999
21,2015-01-01,Carcaça Bovina,N,12003.73296
21,2016-01-01,Carcaça Bovina,N,10957.08894
21,2017-01-01,Carcaça Bovina,N,10266.552599999999
21,2018-01-01,Carcaça Bovina,N,10204.257599999999
21,2019-01-01,Carcaça Bovina,N,10055.84364
21,2020-01-01,Carcaça Bovina,N,8552.78052
21,2021-01-01,Carcaça Bovina,N,8870.199480000001
21,2022-01-01,Carcaça Bovina,N,9799.76934
21,2023-01-01,Carcaça Bovina,N,10356.85068
21,2024-01-01,Carcaça Bovina,N,5534.25366
22,2001-01-01,Carcaça Bovina,N,1406.31456
22,2002-01-01,Carcaça Bovina,N,1392.573
22,2003-01-01,Carcaça Bovina,N,1367.90544
22,2004-01-01,Carcaça Bovina,N,1331.51232
22,2005-01-01,Carcaça Bovina,N,1383.28002
22,2006-01-01,Carcaça Bovina,N,1481.93016
22,2007-01-01,Carcaça Bovina,N,1612.42404
22,2008-01-01,Carcaça Bovina,N,1555.29408
22,2009-01-01,Carcaça Bovina,N,1514.4598799999999
22,2010-01-01,Carcaça Bovina,N,1600.98726
22,2011-01-01,Carcaça Bovina,N,1544.3418000000001
22,2012-01-01,Carcaça Bovina,N,1662.34128
22,2013-01-01,Carcaça Bovina,N,2082.9995400000003
22,2014-01-01,Carcaça Bovina,N,1589.0067
22,2015-01-01,Carcaça Bovina,N,1387.0773000000002
22,2016-01-01,Carcaça Bovina,N,1242.2486999999999
22,2017-01-01,Carcaça Bovina,N,1476.92478
22,2018-01-01,Carcaça Bovina,N,1514.23854
22,2019-01-01,Carcaça Bovina,N,1523.94678
22,2020-01-01,Carcaça Bovina,N,1265.46492
22,2021-01-01,Carcaça Bovina,N,901.46646
22,2022-01-01,Carcaça Bovina,N,1005.33048
22,2023-01-01,Carcaça Bovina,N,959.7665999999999
22,2024-01-01,Carcaça Bovina,N,537.73884
23,2001-01-01,Carcaça Bovina,N,3984.3956999999996
23,2002-01-01,Carcaça Bovina,N,4073.00688
23,2003-01-01,Carcaça Bovina,N,3895.2432599999997
23,2004-01-01,Carcaça Bovina,N,3720.8858999999998
23,2005-01-01,Carcaça Bovina,N,3686.93232
23,2006-01-01,Carcaça Bovina,N,3909.43596
23,2007-01-01,Carcaça Bovina,N,4082.7391199999997
23,2008-01-01,Carcaça Bovina,N,4057.81506
23,2009-01-01,Carcaça Bovina,N,3859.30518
23,2010-01-01,Carcaça Bovina,N,3842.6357399999997
23,2011-01-01,Carcaça Bovina,N,3649.78254
23,2012-01-01,Carcaça Bovina,N,3292.0531199999996
23,2013-01-01,Carcaça Bovina,N,2999.28384
23,2014-01-01,Carcaça Bovina,N,2843.2701599999996
23,2015-01-01,Carcaça Bovina,N,2476.42602
23,2016-01-01,Carcaça Bovina,N,2236.32174
23,2017-01-01,Carcaça Bovina,N,2014.13796
23,2018-01-01,Carcaça Bovina,N,1900.4888999999998
23,2019-01-01,Carcaça Bovina,N,1876.34904
23,2020-01-01,Carcaça Bovina,N,1566.8028
23,2021-01-01,Carcaça Bovina,N,1386.68616
23,2022-01-01,Carcaça Bovina,N,1587.39054
23,2023-01-01,Carcaça Bovina,N,1634.7253799999999
23,2024-01-01,Carcaça Bovina,N,814.4071799999999
24,2001-01-01,Carcaça Bovina,N,688.5555
24,2002-01-01,Carcaça Bovina,N,824.3734199999999
24,2003-01-01,Carcaça Bovina,N,718.5147
24,2004-01-01,Carcaça Bovina,N,538.0496400000001
24,2005-01-01,Carcaça Bovina,N,839.781
24,2006-01-01,Carcaça Bovina,N,1182.1404
24,2007-01-01,Carcaça Bovina,N,1467.60972
24,2008-01-01,Carcaça Bovina,N,1416.09978
24,2009-01-01,Carcaça Bovina,N,1215.1496399999999
24,2010-01-01,Carcaça Bovina,N,1302.4593
24,2011-01-01,Carcaça Bovina,N,1260.3693
24,2012-01-01,Carcaça Bovina,N,1346.67942
24,2013-01-01,Carcaça Bovina,N,1361.9388000000001
24,2014-01-01,Carcaça Bovina,N,1320.59538
24,2015-01-01,Carcaça Bovina,N,1319.80782
24,2016-01-01,Carcaça Bovina,N,1078.87452
24,2017-01-01,Carcaça Bovina,N,979.25052
24,2018-01-01,Carcaça Bovina,N,1037.16384
24,2019-01-01,Carcaça Bovina,N,1106.6406
24,2020-01-01,Carcaça Bovina,N,973.1577
24,2021-01-01,Carcaça Bovina,N,821.14932
24,2022-01-01,Carcaça Bovina,N,997.19868
24,2023-01-01,Carcaça Bovina,N,865.8754799999999
24,2024-01-01,Carcaça Bovina,N,450.04607999999996
25,2001-01-01,Carcaça Bovina,N,274.01814
25,2002-01-01,Carcaça Bovina,N,823.30248
25,2003-01-01,Carcaça Bovina,N,705.52872
25,2004-01-01,Carcaça Bovina,N,722.66316
25,2005-01-01,Carcaça Bovina,N,839.68482
25,2006-01-01,Carcaça Bovina,N,871.5753599999999
25,2007-01-01,Carcaça Bovina,N,974.1328199999999
25,2008-01-01,Carcaça Bovina,N,1010.9870999999999
25,2009-01-01,Carcaça Bovina,N,906.1979399999999
25,2010-01-01,Carcaça Bovina,N,686.7934799999999
25,2011-01-01,Carcaça Bovina,N,464.35974
25,2012-01-01,Carcaça Bovina,N,1152.39426
25,2013-01-01,Carcaça Bovina,N,1076.3475600000002
25,2014-01-01,Carcaça Bovina,N,727.8617399999999
25,2015-01-01,Carcaça Bovina,N,793.9386599999999
25,2016-01-01,Carcaça Bovina,N,1125.73686
25,2017-01-01,Carcaça Bovina,N,817.00344
25,2018-01-01,Carcaça Bovina,N,763.75056
25,2019-01-01,Carcaça Bovina,N,891.348
25,2020-01-01,Carcaça Bovina,N,925.71426
25,2021-01-01,Carcaça Bovina,N,902.57976
25,2022-01-01,Carcaça Bovina,N,885.53388
25,2023-01-01,Carcaça Bovina,N,842.4463199999999
25,2024-01-01,Carcaça Bovina,N,498.95148
26,2001-01-01,Carcaça Bovina,N,4350.404219999999
26,2002-01-01,Carcaça Bovina,N,4743.33654
26,2003-01-01,Carcaça Bovina,N,4560.69684
26,2004-01-01,Carcaça Bovina,N,4350.58872
26,2005-01-01,Carcaça Bovina,N,4492.54872
26,2006-01-01,Carcaça Bovina,N,4896.42444
26,2007-01-01,Carcaça Bovina,N,5486.017019999999
26,2008-01-01,Carcaça Bovina,N,5321.33124
26,2009-01-01,Carcaça Bovina,N,5139.759059999999
26,2010-01-01,Carcaça Bovina,N,5461.09146
26,2011-01-01,Carcaça Bovina,N,5382.09774
26,2012-01-01,Carcaça Bovina,N,3928.64694
26,2013-01-01,Carcaça Bovina,N,4153.93314
26,2014-01-01,Carcaça Bovina,N,4371.42996
26,2015-01-01,Carcaça Bovina,N,4248.331139999999
26,2016-01-01,Carcaça Bovina,N,4159.052699999999
26,2017-01-01,Carcaça Bovina,N,3878.41902
26,2018-01-01,Carcaça Bovina,N,4339.08198
26,2019-01-01,Carcaça Bovina,N,4145.51382
26,2020-01-01,Carcaça Bovina,N,3789.98592
26,2021-01-01,Carcaça Bovina,N,3420.1245
26,2022-01-01,Carcaça Bovina,N,3841.6674
26,2023-01-01,Carcaça Bovina,N,3593.85396
26,2024-01-01,Carcaça Bovina,N,1847.79522
27,2001-01-01,Carcaça Bovina,N,1507.90746
27,2002-01-01,Carcaça Bovina,N,1536.54204
27,2003-01-01,Carcaça Bovina,N,1901.41458
27,2004-01-01,Carcaça Bovina,N,1827.86778
27,2005-01-01,Carcaça Bovina,N,1871.6007
27,2006-01-01,Carcaça Bovina,N,1981.0666199999998
27,2007-01-01,Carcaça Bovina,N,2253.6486
27,2008-01-01,Carcaça Bovina,N,2205.18258
27,2009-01-01,Carcaça Bovina,N,1937.74026
27,2010-01-01,Carcaça Bovina,N,2653.08018
27,2011-01-01,Carcaça Bovina,N,2799.1601399999995
27,2012-01-01,Carcaça Bovina,N,2557.67856
