state,date,label,nutrient,value
11,2000-01-01,Dejetos galináceos,N,2542.6849
11,2000-01-01,Dejetos suínos,N,6544.325599999999
11,2001-01-01,Dejetos galináceos,N,1866.5015199999998
11,2001-01-01,Dejetos suínos,N,7114.654399999999
11,2002-01-01,Dejetos galináceos,N,1429.3601400000002
11,2002-01-01,Dejetos suínos,N,2795.0712
11,2003-01-01,Dejetos galináceos,N,2818.6413199999997
11,2003-01-01,Dejetos suínos,N,3576.6818
11,2004-01-01,Dejetos galináceos,N,2715.58972
11,2004-01-01,Dejetos suínos,N,3627.5461999999998
11,2005-01-01,Dejetos galináceos,N,2018.3039599999997
11,2005-01-01,Dejetos suínos,N,4379.3652
11,2006-01-01,Dejetos galináceos,N,1949.83412
11,2006-01-01,Dejetos suínos,N,3914.6844
11,2007-01-01,Dejetos galináceos,N,2295.19088
11,2007-01-01,Dejetos suínos,N,3949.4885999999997
11,2008-01-01,Dejetos galináceos,N,2157.54218
11,2008-01-01,Dejetos suínos,N,2946.1734
11,2009-01-01,Dejetos galináceos,N,1774.7367199999999
11,2009-01-01,Dejetos suínos,N,3080.6474
11,2010-01-01,Dejetos galináceos,N,1881.0775
11,2010-01-01,Dejetos suínos,N,3548.8498
11,2011-01-01,Dejetos galináceos,N,1445.30738
11,2011-01-01,Dejetos suínos,N,3331.2205999999996
11,2012-01-01,Dejetos galináceos,N,1473.48424
11,2012-01-01,Dejetos suínos,N,3203.4631999999997
11,2013-01-01,Dejetos galináceos,N,1502.8960200000001
11,2013-01-01,Dejetos suínos,N,2673.7322
11,2014-01-01,Dejetos galináceos,N,1441.0767799999999
11,2014-01-01,Dejetos suínos,N,2890.4242
11,2015-01-01,Dejetos galináceos,N,1831.7242999999999
11,2015-01-01,Dejetos suínos,N,3274.0798
11,2016-01-01,Dejetos galináceos,N,1480.3567400000002
11,2016-01-01,Dejetos suínos,N,3183.2992
11,2017-01-01,Dejetos galináceos,N,2366.94832
11,2017-01-01,Dejetos suínos,N,3140.0744
11,2018-01-01,Dejetos galináceos,N,2230.30238
11,2018-01-01,Dejetos suínos,N,2701.337
11,2019-01-01,Dejetos galináceos,N,1557.72092
11,2019-01-01,Dejetos suínos,N,2323.5602
11,2020-01-01,Dejetos galináceos,N,1585.774
11,2020-01-01,Dejetos suínos,N,2315.7927999999997
11,2021-01-01,Dejetos galináceos,N,2619.53592
11,2021-01-01,Dejetos suínos,N,2737.0357999999997
11,2022-01-01,Dejetos galináceos,N,2900.8089
11,2022-01-01,Dejetos suínos,N,3671.2395999999994
12,2000-01-01,Dejetos galináceos,N,726.861
12,2000-01-01,Dejetos suínos,N,2605.6716
12,2001-01-01,Dejetos galináceos,N,698.9214
12,2001-01-01,Dejetos suínos,N,2599.4236
12,2002-01-01,Dejetos galináceos,N,684.9033999999999
12,2002-01-01,Dejetos suínos,N,2545.3784
12,2003-01-01,Dejetos galináceos,N,584.7567200000001
12,2003-01-01,Dejetos suínos,N,2528.3668
12,2004-01-01,Dejetos galináceos,N,556.9156800000001
12,2004-01-01,Dejetos suínos,N,2397.2581999999998
12,2005-01-01,Dejetos galináceos,N,537.05614
12,2005-01-01,Dejetos suínos,N,2145.2366
12,2006-01-01,Dejetos galináceos,N,581.5496
12,2006-01-01,Dejetos suínos,N,2385.9976
12,2007-01-01,Dejetos galináceos,N,708.59248
12,2007-01-01,Dejetos suínos,N,2222.726
12,2008-01-01,Dejetos galináceos,N,784.90988
12,2008-01-01,Dejetos suínos,N,2213.2261999999996
12,2009-01-01,Dejetos galináceos,N,835.97646
12,2009-01-01,Dejetos suínos,N,2224.004
12,2010-01-01,Dejetos galináceos,N,858.1164999999999
12,2010-01-01,Dejetos suínos,N,2140.8346
12,2011-01-01,Dejetos galináceos,N,865.5623400000001
12,2011-01-01,Dejetos suínos,N,1981.1555999999998
12,2012-01-01,Dejetos galináceos,N,865.6766200000001
12,2012-01-01,Dejetos suínos,N,1977.3642
12,2013-01-01,Dejetos galináceos,N,898.22552
12,2013-01-01,Dejetos suínos,N,1910.9792
12,2014-01-01,Dejetos galináceos,N,1051.46686
12,2014-01-01,Dejetos suínos,N,1830.025
12,2015-01-01,Dejetos galináceos,N,1265.1831
12,2015-01-01,Dejetos suínos,N,2126.8192
12,2016-01-01,Dejetos galináceos,N,1268.62198
12,2016-01-01,Dejetos suínos,N,1975.93
12,2017-01-01,Dejetos galináceos,N,1185.0700000000002
12,2017-01-01,Dejetos suínos,N,2020.5605999999998
12,2018-01-01,Dejetos galináceos,N,1220.7029
12,2018-01-01,Dejetos suínos,N,2030.316
12,2019-01-01,Dejetos galináceos,N,1239.84536
12,2019-01-01,Dejetos suínos,N,2127.1884
12,2020-01-01,Dejetos galináceos,N,1236.69156
12,2020-01-01,Dejetos suínos,N,2221.5757999999996
12,2021-01-01,Dejetos galináceos,N,1154.1833
12,2021-01-01,Dejetos suínos,N,2124.9164
12,2022-01-01,Dejetos galináceos,N,1153.75804
12,2022-01-01,Dejetos suínos,N,2234.938
13,2000-01-01,Dejetos galináceos,N,1349.82124
13,2000-01-01,Dejetos suínos,N,4262.3856
13,2001-01-01,Dejetos galináceos,N,1430.44634
13,2001-01-01,Dejetos suínos,N,4456.3292
13,2002-01-01,Dejetos galináceos,N,1626.29366
13,2002-01-01,Dejetos suínos,N,4853.077200000001
13,2003-01-01,Dejetos galináceos,N,1626.6179000000002
13,2003-01-01,Dejetos suínos,N,4277.693200000001
13,2004-01-01,Dejetos galináceos,N,1756.42122
13,2004-01-01,Dejetos suínos,N,4128.7494
13,2005-01-01,Dejetos galináceos,N,2006.8520799999997
13,2005-01-01,Dejetos suínos,N,4123.822
13,2006-01-01,Dejetos galináceos,N,2185.2622
13,2006-01-01,Dejetos suínos,N,4258.9918
13,2007-01-01,Dejetos galináceos,N,1752.1596599999998
13,2007-01-01,Dejetos suínos,N,2208.455
13,2008-01-01,Dejetos galináceos,N,1909.3839599999997
13,2008-01-01,Dejetos suínos,N,2040.0287999999998
13,2009-01-01,Dejetos galináceos,N,1933.5193199999999
13,2009-01-01,Dejetos suínos,N,2077.3322
13,2010-01-01,Dejetos galináceos,N,2134.73442
13,2010-01-01,Dejetos suínos,N,1415.3992
13,2011-01-01,Dejetos galináceos,N,2319.17878
13,2011-01-01,Dejetos suínos,N,1340.977
13,2012-01-01,Dejetos galináceos,N,2220.9418
13,2012-01-01,Dejetos suínos,N,1080.7335999999998
13,2013-01-01,Dejetos galináceos,N,2116.10102
13,2013-01-01,Dejetos suínos,N,941.815
13,2014-01-01,Dejetos galináceos,N,2183.3265
13,2014-01-01,Dejetos suínos,N,1008.3136
13,2015-01-01,Dejetos galináceos,N,2306.2900600000003
13,2015-01-01,Dejetos suínos,N,889.1046
13,2016-01-01,Dejetos galináceos,N,2250.5874799999997
13,2016-01-01,Dejetos suínos,N,930.1993999999999
13,2017-01-01,Dejetos galináceos,N,2034.1186599999996
13,2017-01-01,Dejetos suínos,N,1098.583
13,2018-01-01,Dejetos galináceos,N,2062.38166
13,2018-01-01,Dejetos suínos,N,1083.0765999999999
13,2019-01-01,Dejetos galináceos,N,2270.84892
13,2019-01-01,Dejetos suínos,N,1268.5995999999998
13,2020-01-01,Dejetos galináceos,N,2443.5912
13,2020-01-01,Dejetos suínos,N,1162.6534
13,2021-01-01,Dejetos galináceos,N,2732.99564
13,2021-01-01,Dejetos suínos,N,1156.0646
13,2022-01-01,Dejetos galináceos,N,2749.8567
13,2022-01-01,Dejetos suínos,N,1108.9774
14,2000-01-01,Dejetos galináceos,N,405.84999999999997
14,2000-01-01,Dejetos suínos,N,1083.744
14,2001-01-01,Dejetos galináceos,N,483.43999999999994
14,2001-01-01,Dejetos suínos,N,1119.67
14,2002-01-01,Dejetos galináceos,N,485.554
14,2002-01-01,Dejetos suínos,N,1084.17
14,2003-01-01,Dejetos galináceos,N,519.144
14,2003-01-01,Dejetos suínos,N,1100.5
14,2004-01-01,Dejetos galináceos,N,552.47
14,2004-01-01,Dejetos suínos,N,1171.5
14,2005-01-01,Dejetos galináceos,N,584.0
14,2005-01-01,Dejetos suínos,N,1249.6
14,2006-01-01,Dejetos galináceos,N,584.6800000000001
14,2006-01-01,Dejetos suínos,N,1249.671
14,2007-01-01,Dejetos galináceos,N,500.669
14,2007-01-01,Dejetos suínos,N,1197.841
14,2008-01-01,Dejetos galináceos,N,482.3189
14,2008-01-01,Dejetos suínos,N,1066.3205999999998
14,2009-01-01,Dejetos galináceos,N,483.22399999999993
14,2009-01-01,Dejetos suínos,N,1063.367
14,2010-01-01,Dejetos galináceos,N,486.86
14,2010-01-01,Dejetos suínos,N,1081.614
14,2011-01-01,Dejetos galináceos,N,415.20781999999997
14,2011-01-01,Dejetos suínos,N,825.659
14,2012-01-01,Dejetos galináceos,N,372.8809
14,2012-01-01,Dejetos suínos,N,539.3444000000001
14,2013-01-01,Dejetos galináceos,N,314.08147999999994
14,2013-01-01,Dejetos suínos,N,422.46419999999995
14,2014-01-01,Dejetos galináceos,N,249.79495999999997
14,2014-01-01,Dejetos suínos,N,397.68519999999995
14,2015-01-01,Dejetos galináceos,N,262.72704
14,2015-01-01,Dejetos suínos,N,433.5686
14,2016-01-01,Dejetos galináceos,N,264.06028
14,2016-01-01,Dejetos suínos,N,696.8366
14,2017-01-01,Dejetos galináceos,N,272.62986
14,2017-01-01,Dejetos suínos,N,1101.9058
14,2018-01-01,Dejetos galináceos,N,364.9398
14,2018-01-01,Dejetos suínos,N,1114.842
14,2019-01-01,Dejetos galináceos,N,378.992
