state,date,label,nutrient,value
11,2009-01-01,Fertilizante orgânico vinhaça,N,34.8565
11,2010-01-01,Fertilizante orgânico vinhaça,N,44.8155
11,2011-01-01,Fertilizante orgânico vinhaça,N,54.774499999999996
11,2012-01-01,Fertilizante orgânico vinhaça,N,59.754
11,2013-01-01,Fertilizante orgânico vinhaça,N,44.8155
11,2014-01-01,Fertilizante orgânico vinhaça,N,54.774499999999996
11,2015-01-01,Fertilizante orgânico vinhaça,N,64.7335
11,2016-01-01,Fertilizante orgânico vinhaça,N,64.7335
11,2017-01-01,Fertilizante orgânico vinhaça,N,44.8155
11,2018-01-01,Fertilizante orgânico vinhaça,N,19.918
11,2019-01-01,Fertilizante orgânico vinhaça,N,9.959
11,2020-01-01,Fertilizante orgânico vinhaça,N,24.8975
12,2011-01-01,Fertilizante orgânico vinhaça,N,4.9795
12,2012-01-01,Fertilizante orgânico vinhaça,N,14.9385
12,2013-01-01,Fertilizante orgânico vinhaça,N,19.918
12,2014-01-01,Fertilizante orgânico vinhaça,N,24.8975
12,2016-01-01,Fertilizante orgânico vinhaça,N,24.8975
12,2017-01-01,Fertilizante orgânico vinhaça,N,19.918
13,2001-01-01,Fertilizante orgânico vinhaça,N,19.918
13,2002-01-01,Fertilizante orgânico vinhaça,N,14.9385
13,2003-01-01,Fertilizante orgânico vinhaça,N,19.918
13,2004-01-01,Fertilizante orgânico vinhaça,N,19.918
13,2005-01-01,Fertilizante orgânico vinhaça,N,24.8975
13,2006-01-01,Fertilizante orgânico vinhaça,N,29.877
13,2007-01-01,Fertilizante orgânico vinhaça,N,29.877
13,2008-01-01,Fertilizante orgânico vinhaça,N,39.836
13,2009-01-01,Fertilizante orgânico vinhaça,N,39.836
13,2010-01-01,Fertilizante orgânico vinhaça,N,24.8975
13,2011-01-01,Fertilizante orgânico vinhaça,N,34.8565
13,2012-01-01,Fertilizante orgânico vinhaça,N,29.877
13,2013-01-01,Fertilizante orgânico vinhaça,N,19.918
13,2014-01-01,Fertilizante orgânico vinhaça,N,24.8975
13,2015-01-01,Fertilizante orgânico vinhaça,N,14.9385
13,2016-01-01,Fertilizante orgânico vinhaça,N,29.877
13,2017-01-01,Fertilizante orgânico vinhaça,N,24.8975
13,2018-01-01,Fertilizante orgânico vinhaça,N,24.8975
13,2019-01-01,Fertilizante orgânico vinhaça,N,24.8975
13,2020-01-01,Fertilizante orgânico vinhaça,N,44.8155
13,2021-01-01,Fertilizante orgânico vinhaça,N,44.8155
15,2000-01-01,Fertilizante orgânico vinhaça,N,129.467
15,2001-01-01,Fertilizante orgânico vinhaça,N,134.4465
15,2002-01-01,Fertilizante orgânico vinhaça,N,124.4875
15,2003-01-01,Fertilizante orgânico vinhaça,N,129.467
15,2004-01-01,Fertilizante orgânico vinhaça,N,174.2825
