state,date,label,nutrient,value
0,11,2000-01-01,Fertilizantes Sintéticos,N,1351.0
1,11,2000-01-01,Fertilizantes Sintéticos,P,1063.2210000000002
2,11,2000-01-01,Fertilizantes Sintéticos,K,1898.2099999999998
3,11,2001-01-01,Fertilizantes Sintéticos,N,799.0
4,11,2001-01-01,Fertilizantes Sintéticos,P,1191.699
5,11,2001-01-01,Fertilizantes Sintéticos,K,1969.59
6,11,2002-01-01,Fertilizantes Sintéticos,N,1341.0
7,11,2002-01-01,Fertilizantes Sintéticos,P,1928.0440000000003
8,11,2002-01-01,Fertilizantes Sintéticos,K,3081.79
9,11,2003-01-01,Fertilizantes Sintéticos,N,1441.0
10,11,2003-01-01,Fertilizantes Sintéticos,P,3014.8630000000003
11,11,2003-01-01,Fertilizantes Sintéticos,K,4503.58
12,11,2004-01-01,Fertilizantes Sintéticos,N,2617.0
13,11,2004-01-01,Fertilizantes Sintéticos,P,3542.3220000000006
14,11,2004-01-01,Fertilizantes Sintéticos,K,5710.4
15,11,2005-01-01,Fertilizantes Sintéticos,N,2058.0
16,11,2005-01-01,Fertilizantes Sintéticos,P,3143.3410000000003
17,11,2005-01-01,Fertilizantes Sintéticos,K,4161.62
18,11,2006-01-01,Fertilizantes Sintéticos,N,2107.0
19,11,2006-01-01,Fertilizantes Sintéticos,P,3454.0480000000002
20,11,2006-01-01,Fertilizantes Sintéticos,K,4345.88
21,11,2007-01-01,Fertilizantes Sintéticos,N,3424.0
22,11,2007-01-01,Fertilizantes Sintéticos,P,4038.7540000000004
23,11,2007-01-01,Fertilizantes Sintéticos,K,5095.37
24,11,2008-01-01,Fertilizantes Sintéticos,N,2883.0
25,11,2008-01-01,Fertilizantes Sintéticos,P,4614.72
26,11,2008-01-01,Fertilizantes Sintéticos,K,5869.759999999999
27,11,2009-01-01,Fertilizantes Sintéticos,N,3777.0
28,11,2009-01-01,Fertilizantes Sintéticos,P,5307.365000000001
29,11,2009-01-01,Fertilizantes Sintéticos,K,7191.95
30,11,2010-01-01,Fertilizantes Sintéticos,N,4828.0
31,11,2010-01-01,Fertilizantes Sintéticos,P,6101.831000000001
32,11,2010-01-01,Fertilizantes Sintéticos,K,8110.759999999999
33,11,2011-01-01,Fertilizantes Sintéticos,N,6543.0
34,11,2011-01-01,Fertilizantes Sintéticos,P,7687.267000000001
35,11,2011-01-01,Fertilizantes Sintéticos,K,10955.17
36,11,2012-01-01,Fertilizantes Sintéticos,N,8625.0
37,11,2012-01-01,Fertilizantes Sintéticos,P,9874.452000000001
38,11,2012-01-01,Fertilizantes Sintéticos,K,15826.439999999999
39,11,2013-01-01,Fertilizantes Sintéticos,N,9770.0
40,11,2013-01-01,Fertilizantes Sintéticos,P,10194.336000000001
41,11,2013-01-01,Fertilizantes Sintéticos,K,17261.51
42,11,2014-01-01,Fertilizantes Sintéticos,N,11482.0
43,11,2014-01-01,Fertilizantes Sintéticos,P,11371.177000000001
44,11,2014-01-01,Fertilizantes Sintéticos,K,19483.42
45,11,2015-01-01,Fertilizantes Sintéticos,N,12205.0
46,11,2015-01-01,Fertilizantes Sintéticos,P,11645.176000000001
47,11,2015-01-01,Fertilizantes Sintéticos,K,19427.809999999998
48,11,2016-01-01,Fertilizantes Sintéticos,N,16287.0
49,11,2016-01-01,Fertilizantes Sintéticos,P,12529.664
50,11,2016-01-01,Fertilizantes Sintéticos,K,22552.76
51,11,2017-01-01,Fertilizantes Sintéticos,N,14720.0
52,11,2017-01-01,Fertilizantes Sintéticos,P,10002.930000000002
53,11,2017-01-01,Fertilizantes Sintéticos,K,16587.55
54,11,2018-01-01,Fertilizantes Sintéticos,N,15980.0
55,11,2018-01-01,Fertilizantes Sintéticos,P,10594.191
56,11,2018-01-01,Fertilizantes Sintéticos,K,20134.14
57,11,2019-01-01,Fertilizantes Sintéticos,N,20718.0
58,11,2019-01-01,Fertilizantes Sintéticos,P,14730.396000000002
59,11,2019-01-01,Fertilizantes Sintéticos,K,26197.289999999997
60,11,2020-01-01,Fertilizantes Sintéticos,N,25849.0
61,11,2020-01-01,Fertilizantes Sintéticos,P,14838.335000000003
62,11,2020-01-01,Fertilizantes Sintéticos,K,31540.0
63,12,2000-01-01,Fertilizantes Sintéticos,N,51.0
64,12,2000-01-01,Fertilizantes Sintéticos,P,33.212
65,12,2000-01-01,Fertilizantes Sintéticos,K,37.35
66,12,2001-01-01,Fertilizantes Sintéticos,N,49.0
67,12,2001-01-01,Fertilizantes Sintéticos,P,40.20400000000001
68,12,2001-01-01,Fertilizantes Sintéticos,K,47.309999999999995
69,12,2002-01-01,Fertilizantes Sintéticos,N,101.0
70,12,2002-01-01,Fertilizantes Sintéticos,P,27.968000000000004
71,12,2002-01-01,Fertilizantes Sintéticos,K,44.82
72,12,2003-01-01,Fertilizantes Sintéticos,N,55.0
73,12,2003-01-01,Fertilizantes Sintéticos,P,41.51500000000001
74,12,2003-01-01,Fertilizantes Sintéticos,K,47.309999999999995
75,12,2004-01-01,Fertilizantes Sintéticos,N,48.0
76,12,2004-01-01,Fertilizantes Sintéticos,P,43.263000000000005
77,12,2004-01-01,Fertilizantes Sintéticos,K,55.61
78,12,2005-01-01,Fertilizantes Sintéticos,N,249.0
79,12,2005-01-01,Fertilizantes Sintéticos,P,85.65200000000002
80,12,2005-01-01,Fertilizantes Sintéticos,K,107.07
81,12,2006-01-01,Fertilizantes Sintéticos,N,456.0
82,12,2006-01-01,Fertilizantes Sintéticos,P,86.08900000000001
83,12,2006-01-01,Fertilizantes Sintéticos,K,204.17999999999998
84,12,2007-01-01,Fertilizantes Sintéticos,N,776.0
85,12,2007-01-01,Fertilizantes Sintéticos,P,336.927
86,12,2007-01-01,Fertilizantes Sintéticos,K,409.19
87,12,2008-01-01,Fertilizantes Sintéticos,N,574.0
88,12,2008-01-01,Fertilizantes Sintéticos,P,213.69300000000004
89,12,2008-01-01,Fertilizantes Sintéticos,K,311.25
90,12,2009-01-01,Fertilizantes Sintéticos,N,121.0
91,12,2009-01-01,Fertilizantes Sintéticos,P,105.75400000000002
92,12,2009-01-01,Fertilizantes Sintéticos,K,113.71
93,12,2010-01-01,Fertilizantes Sintéticos,N,210.0
94,12,2010-01-01,Fertilizantes Sintéticos,P,123.67100000000002
95,12,2010-01-01,Fertilizantes Sintéticos,K,112.88
96,12,2011-01-01,Fertilizantes Sintéticos,N,409.0
97,12,2011-01-01,Fertilizantes Sintéticos,P,310.27000000000004
98,12,2011-01-01,Fertilizantes Sintéticos,K,476.41999999999996
99,12,2012-01-01,Fertilizantes Sintéticos,N,310.0
100,12,2012-01-01,Fertilizantes Sintéticos,P,159.50500000000002
101,12,2012-01-01,Fertilizantes Sintéticos,K,208.32999999999998
102,12,2013-01-01,Fertilizantes Sintéticos,N,315.0
103,12,2013-01-01,Fertilizantes Sintéticos,P,172.615
104,12,2013-01-01,Fertilizantes Sintéticos,K,161.01999999999998
105,12,2014-01-01,Fertilizantes Sintéticos,N,293.0
106,12,2014-01-01,Fertilizantes Sintéticos,P,154.698
107,12,2014-01-01,Fertilizantes Sintéticos,K,170.98
108,12,2015-01-01,Fertilizantes Sintéticos,N,436.0
109,12,2015-01-01,Fertilizantes Sintéticos,P,194.02800000000002
110,12,2015-01-01,Fertilizantes Sintéticos,K,185.09
111,12,2016-01-01,Fertilizantes Sintéticos,N,539.0
112,12,2016-01-01,Fertilizantes Sintéticos,P,229.86200000000002
113,12,2016-01-01,Fertilizantes Sintéticos,K,304.61
114,12,2017-01-01,Fertilizantes Sintéticos,N,464.0
115,12,2017-01-01,Fertilizantes Sintéticos,P,225.92900000000003
116,12,2017-01-01,Fertilizantes Sintéticos,K,255.64
117,12,2018-01-01,Fertilizantes Sintéticos,N,449.0
118,12,2018-01-01,Fertilizantes Sintéticos,P,240.35000000000002
119,12,2018-01-01,Fertilizantes Sintéticos,K,283.03
120,12,2019-01-01,Fertilizantes Sintéticos,N,345.0
121,12,2019-01-01,Fertilizantes Sintéticos,P,169.99300000000002
122,12,2019-01-01,Fertilizantes Sintéticos,K,133.63
123,12,2020-01-01,Fertilizantes Sintéticos,N,412.0
124,12,2020-01-01,Fertilizantes Sintéticos,P,283.17600000000004
125,12,2020-01-01,Fertilizantes Sintéticos,K,463.14
126,13,2000-01-01,Fertilizantes Sintéticos,N,741.0
127,13,2000-01-01,Fertilizantes Sintéticos,P,291.91600000000005
128,13,2000-01-01,Fertilizantes Sintéticos,K,818.38
129,13,2001-01-01,Fertilizantes Sintéticos,N,643.0
130,13,2001-01-01,Fertilizantes Sintéticos,P,438.31100000000004
131,13,2001-01-01,Fertilizantes Sintéticos,K,753.64
132,13,2002-01-01,Fertilizantes Sintéticos,N,667.0
133,13,2002-01-01,Fertilizantes Sintéticos,P,295.41200000000003
134,13,2002-01-01,Fertilizantes Sintéticos,K,912.17
135,13,2003-01-01,Fertilizantes Sintéticos,N,618.0
136,13,2003-01-01,Fertilizantes Sintéticos,P,216.75200000000004
137,13,2003-01-01,Fertilizantes Sintéticos,K,737.04
138,13,2004-01-01,Fertilizantes Sintéticos,N,991.0
139,13,2004-01-01,Fertilizantes Sintéticos,P,438.31100000000004
140,13,2004-01-01,Fertilizantes Sintéticos,K,1273.22
141,13,2005-01-01,Fertilizantes Sintéticos,N,718.0
142,13,2005-01-01,Fertilizantes Sintéticos,P,270.06600000000003
143,13,2005-01-01,Fertilizantes Sintéticos,K,802.61
144,13,2006-01-01,Fertilizantes Sintéticos,N,764.0
145,13,2006-01-01,Fertilizantes Sintéticos,P,245.15700000000004
146,13,2006-01-01,Fertilizantes Sintéticos,K,805.93
147,13,2007-01-01,Fertilizantes Sintéticos,N,748.0
148,13,2007-01-01,Fertilizantes Sintéticos,P,262.63700000000006
149,13,2007-01-01,Fertilizantes Sintéticos,K,819.2099999999999
150,13,2008-01-01,Fertilizantes Sintéticos,N,740.0
151,13,2008-01-01,Fertilizantes Sintéticos,P,242.53500000000003
152,13,2008-01-01,Fertilizantes Sintéticos,K,853.24
153,13,2009-01-01,Fertilizantes Sintéticos,N,691.0
154,13,2009-01-01,Fertilizantes Sintéticos,P,215.87800000000001
155,13,2009-01-01,Fertilizantes Sintéticos,K,698.86
156,13,2010-01-01,Fertilizantes Sintéticos,N,822.0
157,13,2010-01-01,Fertilizantes Sintéticos,P,298.03400000000005
158,13,2010-01-01,Fertilizantes Sintéticos,K,820.04
159,13,2011-01-01,Fertilizantes Sintéticos,N,856.0
160,13,2011-01-01,Fertilizantes Sintéticos,P,260.889
161,13,2011-01-01,Fertilizantes Sintéticos,K,854.0699999999999
162,13,2012-01-01,Fertilizantes Sintéticos,N,894.0
163,13,2012-01-01,Fertilizantes Sintéticos,P,304.15200000000004
164,13,2012-01-01,Fertilizantes Sintéticos,K,902.2099999999999
165,13,2013-01-01,Fertilizantes Sintéticos,N,1054.0
166,13,2013-01-01,Fertilizantes Sintéticos,P,377.56800000000004
167,13,2013-01-01,Fertilizantes Sintéticos,K,1045.8
168,13,2014-01-01,Fertilizantes Sintéticos,N,1169.0
169,13,2014-01-01,Fertilizantes Sintéticos,P,445.30300000000005
170,13,2014-01-01,Fertilizantes Sintéticos,K,1173.62
171,13,2015-01-01,Fertilizantes Sintéticos,N,916.0
172,13,2015-01-01,Fertilizantes Sintéticos,P,304.58900000000006
173,13,2015-01-01,Fertilizantes Sintéticos,K,1000.15
174,13,2016-01-01,Fertilizantes Sintéticos,N,1106.0
175,13,2016-01-01,Fertilizantes Sintéticos,P,360.088
176,13,2016-01-01,Fertilizantes Sintéticos,K,1062.3999999999999
177,13,2017-01-01,Fertilizantes Sintéticos,N,1213.0
178,13,2017-01-01,Fertilizantes Sintéticos,P,321.63200000000006
179,13,2017-01-01,Fertilizantes Sintéticos,K,1283.1799999999998
180,13,2018-01-01,Fertilizantes Sintéticos,N,1241.0
181,13,2018-01-01,Fertilizantes Sintéticos,P,468.46400000000006
182,13,2018-01-01,Fertilizantes Sintéticos,K,1469.1
183,13,2019-01-01,Fertilizantes Sintéticos,N,857.0
184,13,2019-01-01,Fertilizantes Sintéticos,P,422.14200000000005
185,13,2019-01-01,Fertilizantes Sintéticos,K,673.9599999999999
186,13,2020-01-01,Fertilizantes Sintéticos,N,1392.0
187,13,2020-01-01,Fertilizantes Sintéticos,P,501.67600000000004
188,13,2020-01-01,Fertilizantes Sintéticos,K,1617.6699999999998
189,14,2000-01-01,Fertilizantes Sintéticos,N,83.0
190,14,2000-01-01,Fertilizantes Sintéticos,P,130.663
191,14,2000-01-01,Fertilizantes Sintéticos,K,202.51999999999998
192,14,2001-01-01,Fertilizantes Sintéticos,N,65.0
193,14,2001-01-01,Fertilizantes Sintéticos,P,121.92300000000002
194,14,2001-01-01,Fertilizantes Sintéticos,K,132.79999999999998
195,14,2002-01-01,Fertilizantes Sintéticos,N,791.0
196,14,2002-01-01,Fertilizantes Sintéticos,P,535.325
197,14,2002-01-01,Fertilizantes Sintéticos,K,1026.71
198,14,2003-01-01,Fertilizantes Sintéticos,N,684.0
199,14,2003-01-01,Fertilizantes Sintéticos,P,869.1930000000001
200,14,2003-01-01,Fertilizantes Sintéticos,K,1451.6699999999998
201,14,2004-01-01,Fertilizantes Sintéticos,N,1058.0
202,14,2004-01-01,Fertilizantes Sintéticos,P,1104.736
203,14,2004-01-01,Fertilizantes Sintéticos,K,1694.86
204,14,2005-01-01,Fertilizantes Sintéticos,N,1917.0
205,14,2005-01-01,Fertilizantes Sintéticos,P,1733.5790000000002
206,14,2005-01-01,Fertilizantes Sintéticos,K,2642.72
207,14,2006-01-01,Fertilizantes Sintéticos,N,2267.0
208,14,2006-01-01,Fertilizantes Sintéticos,P,1573.6370000000002
209,14,2006-01-01,Fertilizantes Sintéticos,K,2641.89
210,14,2007-01-01,Fertilizantes Sintéticos,N,1998.0
211,14,2007-01-01,Fertilizantes Sintéticos,P,1104.736
212,14,2007-01-01,Fertilizantes Sintéticos,K,1894.06
213,14,2008-01-01,Fertilizantes Sintéticos,N,2263.0
214,14,2008-01-01,Fertilizantes Sintéticos,P,1302.6970000000001
215,14,2008-01-01,Fertilizantes Sintéticos,K,2402.02
216,14,2009-01-01,Fertilizantes Sintéticos,N,2337.0
217,14,2009-01-01,Fertilizantes Sintéticos,P,926.8770000000001
218,14,2009-01-01,Fertilizantes Sintéticos,K,1780.35
219,14,2010-01-01,Fertilizantes Sintéticos,N,2092.0
220,14,2010-01-01,Fertilizantes Sintéticos,P,895.8500000000001
221,14,2010-01-01,Fertilizantes Sintéticos,K,1809.3999999999999
222,14,2011-01-01,Fertilizantes Sintéticos,N,2535.0
223,14,2011-01-01,Fertilizantes Sintéticos,P,1046.6150000000002
224,14,2011-01-01,Fertilizantes Sintéticos,K,2241.83
225,14,2012-01-01,Fertilizantes Sintéticos,N,2651.0
226,14,2012-01-01,Fertilizantes Sintéticos,P,1404.0810000000001
227,14,2012-01-01,Fertilizantes Sintéticos,K,2594.58
228,14,2013-01-01,Fertilizantes Sintéticos,N,2264.0
229,14,2013-01-01,Fertilizantes Sintéticos,P,1627.8250000000003
230,14,2013-01-01,Fertilizantes Sintéticos,K,3095.8999999999996
231,14,2014-01-01,Fertilizantes Sintéticos,N,2436.0
