state,date,label,nutrient,value
11,2000-01-01,Outras Produções Agrícolas,N,4664.4175000000005
11,2000-01-01,Principais Produções Agrícolas,N,9470.0381
11,2001-01-01,Outras Produções Agrícolas,N,5207.367300000001
11,2001-01-01,Principais Produções Agrícolas,N,10246.421
11,2002-01-01,Outras Produções Agrícolas,N,2371.77784
11,2002-01-01,Principais Produções Agrícolas,N,10169.8822
11,2003-01-01,Outras Produções Agrícolas,N,3201.36222
11,2003-01-01,Principais Produções Agrícolas,N,13385.3612
11,2004-01-01,Outras Produções Agrícolas,N,2615.9149399999997
11,2004-01-01,Principais Produções Agrícolas,N,17363.0999
11,2005-01-01,Outras Produções Agrícolas,N,2746.2808
11,2005-01-01,Principais Produções Agrícolas,N,21294.848299999998
11,2006-01-01,Outras Produções Agrícolas,N,2039.3313
11,2006-01-01,Principais Produções Agrícolas,N,23046.7866
11,2007-01-01,Outras Produções Agrícolas,N,2314.66324
11,2007-01-01,Principais Produções Agrícolas,N,22423.091099999998
11,2008-01-01,Outras Produções Agrícolas,N,2790.24064
11,2008-01-01,Principais Produções Agrícolas,N,26219.384
11,2009-01-01,Outras Produções Agrícolas,N,2446.09396
11,2009-01-01,Principais Produções Agrícolas,N,29752.9262
11,2010-01-01,Outras Produções Agrícolas,N,3263.13266
11,2010-01-01,Principais Produções Agrícolas,N,29460.598400000003
11,2011-01-01,Outras Produções Agrícolas,N,2260.3819
11,2011-01-01,Principais Produções Agrícolas,N,32426.1845
11,2012-01-01,Outras Produções Agrícolas,N,2293.27594
11,2012-01-01,Principais Produções Agrícolas,N,38495.5717
11,2013-01-01,Outras Produções Agrícolas,N,2257.25724
11,2013-01-01,Principais Produções Agrícolas,N,41291.0114
11,2014-01-01,Outras Produções Agrícolas,N,2377.4465
11,2014-01-01,Principais Produções Agrícolas,N,44598.3069
11,2015-01-01,Outras Produções Agrícolas,N,1966.6413
11,2015-01-01,Principais Produções Agrícolas,N,54537.333
11,2016-01-01,Outras Produções Agrícolas,N,2108.60058
11,2016-01-01,Principais Produções Agrícolas,N,53223.226800000004
11,2017-01-01,Outras Produções Agrícolas,N,2959.1563600000004
11,2017-01-01,Principais Produções Agrícolas,N,65255.3278
11,2018-01-01,Outras Produções Agrícolas,N,2890.7457600000002
11,2018-01-01,Principais Produções Agrícolas,N,67369.1999
11,2019-01-01,Outras Produções Agrícolas,N,2930.5263800000002
11,2019-01-01,Principais Produções Agrícolas,N,81136.3268
11,2020-01-01,Outras Produções Agrícolas,N,3031.7924
11,2020-01-01,Principais Produções Agrícolas,N,89961.58320000001
11,2021-01-01,Outras Produções Agrícolas,N,3327.7249
11,2021-01-01,Principais Produções Agrícolas,N,92152.62580000001
11,2022-01-01,Outras Produções Agrícolas,N,4961.9081
11,2022-01-01,Principais Produções Agrícolas,N,116676.103
12,2000-01-01,Outras Produções Agrícolas,N,257.5254
12,2000-01-01,Principais Produções Agrícolas,N,2164.8719
12,2001-01-01,Outras Produções Agrícolas,N,244.50214
12,2001-01-01,Principais Produções Agrícolas,N,2233.4782
12,2002-01-01,Outras Produções Agrícolas,N,210.18919999999997
12,2002-01-01,Principais Produções Agrícolas,N,2144.7830999999996
12,2003-01-01,Outras Produções Agrícolas,N,230.0141
12,2003-01-01,Principais Produções Agrícolas,N,2355.0018
12,2004-01-01,Outras Produções Agrícolas,N,251.90294
